                   Table of over-by-over Par Scores                   
+-------+---------+--------------------------------------------------+
| overs |  overs  |                     wickets down                 |
|bowled |remaining|  0    1    2    3    4    5    6    7    8    9  |
+-------+---------+--------------------------------------------------+
|   0   |   50    |   0   10   23   37   52   69   85  100  113  122 |
|   1   |   49    |   1   11   23   37   52   69   85  100  113  122 |
|   2   |   48    |   2   12   24   37   53   69   85  100  113  122 |
|   3   |   47    |   3   13   25   38   53   69   85  100  113  122 |
|   4   |   46    |   4   14   25   38   53   69   85  100  113  122 |
|   5   |   45    |   6   15   26   39   53   69   85  100  113  122 |
|   6   |   44    |   7   16   27   39   54   69   85  100  113  122 |
|   7   |   43    |   8   17   27   40   54   69   85  100  113  122 |
|   8   |   42    |   9   18   28   40   54   70   85  100  113  122 |
|   9   |   41    |  11   19   29   41   55   70   85  100  113  122 |
|  10   |   40    |  12   20   30   42   55   70   85  100  113  122 |
|  11   |   39    |  14   21   31   42   55   70   85  100  113  122 |
|  12   |   38    |  15   23   32   43   56   70   85  100  113  122 |
|  13   |   37    |  17   24   33   44   56   70   86  100  113  122 |
|  14   |   36    |  18   25   34   44   57   71   86  100  113  122 |
|  15   |   35    |  20   27   35   45   57   71   86  100  113  122 |
|  16   |   34    |  22   28   36   46   58   71   86  100  113  122 |
|  17   |   33    |  23   30   37   47   58   71   86  100  113  122 |
|  18   |   32    |  25   31   39   48   59   72   86  100  113  122 |
|  19   |   31    |  27   33   40   49   59   72   86  100  113  122 |
|  20   |   30    |  29   34   41   50   60   72   86  100  113  122 |
|  21   |   29    |  31   36   43   51   61   73   86  100  113  122 |
|  22   |   28    |  33   38   44   52   62   73   86  100  113  122 |
|  23   |   27    |  35   40   46   53   62   74   87  100  113  122 |
|  24   |   26    |  37   42   47   55   63   74   87  100  113  122 |
|  25   |   25    |  39   44   49   56   64   75   87  100  113  122 |
|  26   |   24    |  42   46   51   57   65   75   87  100  113  122 |
|  27   |   23    |  44   48   53   59   66   76   88  100  113  122 |
|  28   |   22    |  47   50   55   60   68   77   88  101  113  122 |
|  29   |   21    |  49   52   57   62   69   77   88  101  113  122 |
|  30   |   20    |  52   55   59   64   70   78   89  101  113  122 |
|  31   |   19    |  54   57   61   66   72   79   89  101  113  122 |
|  32   |   18    |  57   60   63   67   73   80   90  101  113  122 |
|  33   |   17    |  60   62   66   69   75   81   90  101  113  122 |
|  34   |   16    |  63   65   68   72   76   83   91  101  113  122 |
|  35   |   15    |  66   68   71   74   78   84   92  102  113  122 |
|  36   |   14    |  69   71   73   76   80   85   92  102  113  122 |
|  37   |   13    |  73   74   76   79   82   87   93  102  113  122 |
|  38   |   12    |  76   77   79   81   84   89   95  103  113  122 |
|  39   |   11    |  79   81   82   84   87   90   96  103  113  122 |
|  40   |   10    |  83   84   85   87   89   92   97  104  113  122 |
|  41   |    9    |  87   88   89   90   92   95   99  105  113  122 |
|  42   |    8    |  91   91   92   93   95   97  100  106  114  122 |
|  43   |    7    |  95   95   96   97   98  100  102  107  114  122 |
|  44   |    6    |  99   99  100  100  101  103  105  108  114  122 |
|  45   |    5    | 103  103  103  104  105  106  107  110  115  122 |
|  46   |    4    | 107  107  108  108  108  109  110  112  116  122 |
|  47   |    3    | 112  112  112  112  112  113  113  115  117  122 |
|  48   |    2    | 116  116  116  116  117  117  117  118  119  123 |
|  49   |    1    | 121  121  121  121  121  121  121  121  122  123 |
|  50   |    0    | 126  126  126  126  126  126  126  126  126  126 |
+-------+---------+--------------------------------------------------+
TableID(dls5.0): 50-126-36-10-0/50  (Wed Nov 05 12:39:36 IST 2025)
                (c) 2025 International Cricket Council                
